Recreation Visits,LowestTemperature(F),HighestTemperature(F),WarmestMinimumTemperature(F),ColdestMaximumTemperature(F),AverageMinimumTemperature(F),AverageMaximumTemperature(F),MeanTemperature(F),TotalPrecipitation(In),TotalSnowfall(In),Max 24hrPrecipitation(In),Max 24hrSnowfall(In),Year/Month/Day,3month Percent Change Airfare Costs,3month Percent Change Food Away From Home Costs,3month Percent Change Gasoline Costs,3month Percent Change Jet Fuel Costs,Consumer Price Index,Consumer Sentiment Index,Unemployment Rate
189072,18,83,36,38,26.3,60.9,43.6,1.15,0.4,0.6,0.4,10/1/10,0.1,0.7,9.1,16.5,0.1,67.7,9.4
16819,-22,65,38,3,11.9,35,23.4,2.67,40.7,0.66,9.5,11/1/10,2.5,0.5,10.3,16.8,0,71.6,9.8
17388,-16,40,28,6,7.6,29.6,18.6,1.9,29.1,0.35,4.5,12/1/10,5.2,0.3,15.2,19.3,0.2,74.5,9.3
24517,2,41,27,12,17.8,30.5,24.1,0.15,5.1,0.07,1.4,1/1/11,7.7,0.4,10.4,12.7,0.5,74.2,9.1
28174,-32,48,21,-2,-3.2,26,11.4,1.25,21.8,0.39,5.8,2/1/11,6.4,0.5,9.1,20.1,0.5,77.5,9
18728,5,51,28,30,15.7,39.6,27.7,2.02,14.4,0.61,6.7,3/1/11,4.5,0.7,8.6,21.3,1,67.5,9
28147,6,55,37,33,19.3,43.1,31.2,1.7,16,0.38,3.5,4/1/11,0.5,0.8,12.4,13.3,0.6,69.8,9.1
207842,16,69,40,41,29.8,54,41.9,2.75,3,0.78,3,5/1/11,-3.9,0.8,12.4,9.3,0.5,74.3,9
634316,25,85,43,51,36,66.3,51.1,1.98,0,0.9,0,6/1/11,-3.8,0.8,3.2,-2.8,-0.1,71.5,9.1
906935,33,88,56,68,41.2,80.7,61,0.83,0,0.26,0,7/1/11,0.7,0.7,-1.7,0.4,0.1,63.7,9
805173,33,90,51,72,40.5,82.1,61.3,1.99,0,1.5,0,8/1/11,8,0.9,-2.7,-4.7,0.3,55.8,9
536349,22,84,41,55,31,74.8,52.9,0.28,0,0.09,0,9/1/11,6.8,0.8,1.6,-0.6,0.2,59.5,9
175433,8,82,39,36,26.4,54.9,40.7,1.01,1.5,0.28,1,10/1/11,0.7,0.8,0.3,-3.1,-0.2,60.8,8.8
12198,-8,53,22,17,9.3,35.2,22.3,1.92,22.1,0.69,9,11/1/11,-5.7,0.7,0.8,7.9,-0.1,63.7,8.6
16514,-25,42,29,13,-0.3,25.9,12.8,0.94,10.5,0.59,4.5,12/1/11,-2.4,0.6,-2.8,6.1,-0.2,69.9,8.5
24766,-14,41,28,14,6.6,29.4,18,1.13,15,0.24,3,1/1/12,0.5,0.8,0.1,9.1,0.4,75,8.3
27752,-10,41,22,25,4.7,31.7,18.2,0.85,12.2,0.11,2.5,2/1/12,2.7,0.7,2.6,2.7,0.4,75.3,8.3
20248,-7,64,35,26,20.1,44.5,32.3,1.13,3.9,0.17,2,3/1/12,0.4,0.7,6.2,4,0.8,76.2,8.2
29056,16,77,41,37,26.9,56.3,41.6,2.13,8,0.5,5,4/1/12,-1.1,0.6,4.3,-4.4,0.3,76.4,8.2
268251,18,78,46,43,29.3,60.3,44.8,3.24,9.8,0.68,6.2,5/1/12,-3.7,0.7,-4.1,-12.6,-0.1,79.3,8.2
671825,25,88,45,49,36,72.9,54.5,1.33,0,0.65,0,6/1/12,-6.7,0.7,-8.7,-18.8,-0.1,73.2,8.2
888335,38,89,55,66,44,83,63.5,2.25,0,0.84,0,7/1/12,-0.9,0.7,-10,-12.2,-0.2,72.3,8.2
780286,29,90,48,70,39.2,83.2,61.2,0.69,0,0.36,0,8/1/12,5.9,0.8,2.2,3.3,0.6,74.3,8.1
527610,22,81,47,65,32.2,75,53.6,1.33,0,0.41,0,9/1/12,8.5,0.7,12.1,20.6,0.4,78.3,7.8
177069,12,73,34,25,21.6,52.9,37.3,1.05,2.5,0.35,2,10/1/12,1.9,0.6,15.7,19.2,0,82.6,7.8
14059,-2,61,35,19,17.7,42.1,29.9,0.85,8.8,0.2,3,11/1/12,-3.3,0.4,1.6,4.7,-0.5,82.7,7.7
18472,-23,48,30,10,8.5,30.1,19.3,2.08,21.3,0.38,4,12/1/12,1.5,0.3,-6.3,-7.3,-0.3,72.9,7.9
24699,-22,43,30,6,1.2,23.5,12.3,0.61,11.5,0.17,3.8,1/1/13,3.8,0.4,-8.1,-0.5,0.3,73.8,8
31053,-16,44,23,20,6.6,32.4,19.5,0.34,8.5,0.11,2,2/1/13,4.9,0.4,4.7,8.3,0.8,77.6,7.7
18613,-9,55,32,23,12,39.4,25.7,0.69,9,0.18,2.5,3/1/13,1.2,0.4,1.5,0.9,0.3,78.6,7.5
24606,2,64,34,29,19.9,47.8,33.8,1.32,5.9,0.38,2.7,4/1/13,-2.7,0.6,-3.5,-12.1,-0.1,76.4,7.6
293250,21,77,43,40,32.7,62.3,47.5,1.3,0,0.47,0,5/1/13,-4.4,0.7,-11.5,-24.8,0.2,84.5,7.5
624429,25,87,48,48,36.4,72.4,54.4,0.82,0,0.2,0,6/1/13,-7.1,0.7,-4.8,-14.5,0.2,84.1,7.5
812212,37,91,51,72,43,82.6,62.8,2.06,0,0.66,0,7/1/13,0.5,0.5,1.3,-4.8,0,85.1,7.3
725136,36,91,51,70,41.8,81.8,61.8,0.79,0,0.24,0,8/1/13,4.7,0.5,2.9,11.4,0.1,82.1,7.3
557925,25,86,52,43,37.7,69.6,53.7,2.45,0.5,0.83,0.5,9/1/13,5.6,0.4,1.2,12,0.1,77.5,7.2
47560,11,65,32,34,20.8,50,35.4,1.54,4.3,0.57,4,10/1/13,1,0.4,-0.5,8.4,-0.3,73.2,7.2
11169,-7,52,32,20,15.4,38.4,26.9,1.04,12.6,0.36,4,11/1/13,-0.6,0.5,-0.8,2.5,-0.2,75.1,6.9
17378,-28,40,30,-4,-0.5,21.7,10.6,1.54,19.8,0.48,4.5,12/1/13,-0.7,0.5,1.4,5.5,0,82.5,6.7
26778,-19,41,26,5,3.8,27.1,15.5,1.28,14.1,0.25,2.5,1/1/14,-3.6,0.5,4.2,5.7,0.4,81.2,6.6
28233,-39,43,25,-7,3.7,27.3,15.5,1.32,19.5,0.22,4,2/1/14,-3.3,0.5,3,6.3,0.4,81.6,6.7
18778,-14,53,34,8,13.8,39.6,26.7,1.76,21,0.49,6,3/1/14,-1.5,0.6,-1.6,-4.8,0.6,80,6.7
31356,2,65,35,35,23,48.8,35.9,1.57,5.4,0.49,2.2,4/1/14,2,0.8,-1.5,-8.1,0.3,84.1,6.2
310039,20,79,40,45,31.3,63.7,47.5,1.13,1,0.3,1,5/1/14,4.1,0.7,-3,-11.6,0.3,81.9,6.3
669642,29,75,48,52,36.3,66.8,51.6,2.61,0,1.13,0,6/1/14,2.1,0.6,-0.5,-8.3,0.2,82.5,6.1
858856,32,87,54,66,42.7,80.4,61.6,0.96,0,0.31,0,7/1/14,0.4,0.7,-2.3,-5,0,81.8,6.2
773357,32,86,50,53,42,72.8,57.4,3.76,0,1.1,0,8/1/14,-2.8,0.7,-2.6,2.7,-0.2,82.5,6.2
571764,18,82,42,47,34.1,69.3,51.7,2.33,0,0.62,0,9/1/14,-2.8,0.9,-3.2,6.2,0.1,84.6,5.9
194804,20,70,34,40,26,59.2,42.6,1.26,1,0.31,1,10/1/14,-1.5,0.8,-5.6,-1.2,-0.3,86.9,5.7
11537,-18,66,38,6,11.7,35.9,23.8,2.01,15.3,0.74,6,11/1/14,-1.7,0.9,-8,-6.9,-0.5,88.8,5.8
18340,-29,52,32,-9,9.3,31.6,20.4,1.44,22.3,0.57,7,12/1/14,-2.4,0.8,-16.7,-17.7,-0.6,93.6,5.6
28091,-17,42,27,2,6.3,29.9,18.1,0.77,8.8,0.23,3,1/1/15,-3.8,0.8,-28.4,-30.1,-0.5,98.1,5.7
34343,-15,53,32,21,14.2,38.2,26.2,0.39,5,0.11,2.5,2/1/15,-2.5,0.7,-21.8,-31.2,0.4,95.4,5.5
22989,-12,63,32,19,17.6,48.5,33.1,0.28,1.5,0.13,1,3/1/15,-1.8,0.6,-10.6,-21.6,0.6,93,5.4
46600,13,71,32,38,23.7,54,38.8,0.96,4.8,0.24,2,4/1/15,-2.7,0.7,4.2,-11.3,0.2,95.9,5.4
386064,19,68,43,44,33.6,58.9,46.3,3.27,1.5,0.93,1,5/1/15,0.2,0.6,6.4,3.6,0.5,90.7,5.5
780768,33,90,52,63,40.1,76.2,58.1,1.51,0,0.43,0,6/1/15,1.9,0.7,5.4,-2.4,0.4,96.1,5.3
980702,30,90,49,62,39.9,76.6,58.3,1.1,0,0.35,0,7/1/15,2.4,0.5,9.6,5.1,0,93.1,5.2
854408,27,89,47,58,38.6,77.8,58.2,2.36,0,0.78,0,8/1/15,-2.2,0.4,-0.2,-15.7,-0.1,91.9,5.1
680213,25,87,47,54,33.4,73.1,53.2,1.15,0,0.46,0,9/1/15,-3.6,0.8,-10.1,-13.2,-0.2,87.2,5
252013,18,76,44,42,29.4,61.6,45.5,1.28,0,0.59,0,10/1/15,-1.1,1,-12,-12.7,0,90,5
11049,-18,51,42,10,8.4,31.3,19.9,2.19,15.5,1.33,6,11/1/15,0.6,0.9,-8.6,1.9,-0.2,91.3,5
20470,-15,48,34,10,4.6,26.2,15.4,1.47,21.4,0.31,5,12/1/15,0.7,0.5,-5.5,-8,-0.3,92.6,5
30621,-17,37,23,10,8.9,29.3,19.1,1.09,16.1,0.4,6.5,1/1/16,-0.3,0.6,-7.3,-23.2,0.2,92,4.9
36327,-17,47,32,11,11.4,36.9,24.2,0.42,3.4,0.12,1.5,2/1/16,-0.4,0.6,-17.4,-30.2,0.1,91.7,4.9
22924,-6,54,33,30,17.8,41.8,29.8,1.02,10.6,0.16,2.5,3/1/16,-0.2,0.7,-10.8,-21.4,0.4,91,5
59253,18,71,39,40,27.5,55.8,41.7,0.59,0.2,0.25,0.2,4/1/16,-0.5,0.6,-3.1,-5.2,0.5,89,5
444630,22,73,41,38,31.9,60.4,46.2,1.63,1,0.3,1,5/1/16,-1.1,0.7,9.7,7.4,0.4,94.7,4.7
838316,29,86,46,61,38.9,76.1,57.5,0.61,0,0.28,0,6/1/16,-1.6,0.6,10.7,21.2,0.3,93.5,4.9
995917,34,89,48,57,40.5,78.8,59.7,1.11,0,0.48,0,7/1/16,-2.8,0.6,0.9,26.9,-0.2,90,4.9
841036,28,88,50,66,37.8,79.5,58.7,0.48,0,0.21,0,8/1/16,-2.6,0.6,-1,6.6,0.1,89.8,4.9
701754,24,87,46,38,34.3,67.1,50.7,2.13,0,0.53,0,9/1/16,-1.6,0.6,0.4,3.8,0.2,91.2,4.9
242004,14,72,45,41,31.7,53.4,42.6,2.89,0,0.56,0,10/1/16,-1.7,0.5,9.1,7.9,0.1,87.2,4.8
24710,6,59,34,29,21.2,45.1,33.1,1.1,6.4,0.46,3.5,11/1/16,-2.7,0.4,12.2,21.7,-0.2,93.8,4.6
19685,-36,38,16,2,-2.4,20.6,9.1,1.4,25.7,0.76,11.5,12/1/16,-1.4,0.4,9.8,15.9,0,98.2,4.7
